YEAR,MONTH,DAY,DAY_OF_WEEK,FLIGHT_NUMBER,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
2015,5,20,3,2433,1150,1608,258,11,1619,130,131,104,764,1903,16,1500,1919,259,0,0,1,0,38,220,0
2015,11,23,1,2256,1550,1547,-3,13,1600,68,56,38,224,1638,5,1658,1643,-15,0,0,NA,NA,NA,NA,NA
2015,3,24,2,585,1840,1831,-9,13,1844,87,76,56,264,1940,7,2007,1947,-20,0,0,NA,NA,NA,NA,NA
2015,10,7,3,4813,1135,1125,-10,13,1138,116,108,88,562,1206,7,1231,1213,-18,0,0,NA,NA,NA,NA,NA
2015,8,2,7,951,2250,2244,-6,10,2254,263,236,222,1931,436,4,513,440,-33,0,0,NA,NA,NA,NA,NA
2015,11,16,1,1558,756,748,-8,19,807,324,335,309,2158,1016,7,1020,1023,3,0,0,NA,NA,NA,NA,NA
2015,8,1,6,2456,1246,1457,131,47,1544,159,177,124,929,1648,6,1425,1654,149,0,0,18,0,0,49,82
2015,4,2,4,898,1010,1019,9,6,1025,285,254,238,2133,1723,10,1755,1733,-22,0,0,NA,NA,NA,NA,NA
2015,5,13,3,1894,1201,1214,13,14,1228,264,256,237,2036,1925,5,1925,1930,5,0,0,NA,NA,NA,NA,NA
2015,12,8,2,1984,615,614,-1,11,625,70,61,46,293,711,4,725,715,-10,0,0,NA,NA,NA,NA,NA
2015,7,15,3,1261,2135,2207,32,14,2221,65,77,40,236,2301,23,2240,2324,44,0,0,12,0,32,0,0
2015,8,30,7,528,1810,1858,48,18,1916,167,155,132,1044,1928,5,1857,1933,36,0,0,0,0,0,36,0
2015,4,6,1,3125,650,650,0,8,658,145,118,103,808,841,7,915,848,-27,0,0,NA,NA,NA,NA,NA
2015,6,8,1,1840,1806,1818,12,129,2027,69,193,46,236,2113,18,1915,2131,136,0,0,124,0,3,9,0
2015,6,9,2,3104,820,NA,NA,NA,NA,108,NA,NA,473,NA,NA,908,NA,NA,0,1,NA,NA,NA,NA,NA
2015,10,21,3,679,750,745,-5,15,800,149,122,96,678,836,11,919,847,-32,0,0,NA,NA,NA,NA,NA
2015,3,6,5,1440,800,755,-5,33,828,184,174,131,1047,1139,10,1204,1149,-15,0,0,NA,NA,NA,NA,NA
2015,9,23,3,1274,1303,1314,11,15,1329,91,75,54,200,1423,6,1434,1429,-5,0,0,NA,NA,NA,NA,NA
2015,6,28,7,500,1839,1858,19,11,1909,156,171,149,925,2138,11,2115,2149,34,0,0,34,0,0,0,0
2015,5,18,1,2162,1735,1729,-6,119,1928,101,203,76,453,2044,8,1916,2052,96,0,0,96,0,0,0,0
2015,10,20,2,726,1335,1429,54,7,1436,125,121,108,804,1724,6,1640,1730,50,0,0,0,0,0,50,0
2015,11,8,7,1581,1727,1737,10,21,1758,263,235,202,1471,2020,12,2050,2032,-18,0,0,NA,NA,NA,NA,NA
2015,3,23,1,481,950,953,3,8,1001,75,70,57,325,1058,5,1105,1103,-2,0,0,NA,NA,NA,NA,NA
2015,6,19,5,857,1030,1056,26,13,1109,55,62,42,189,1151,7,1125,1158,33,0,0,7,0,18,8,0
2015,12,5,6,885,1930,1922,-8,15,1937,85,80,60,370,2137,5,2155,2142,-13,0,0,NA,NA,NA,NA,NA
2015,1,22,4,2211,131,121,-10,10,131,235,227,212,1972,703,5,726,708,-18,0,0,NA,NA,NA,NA,NA
2015,1,22,4,1839,1500,1455,-5,24,1519,122,117,84,547,1643,9,1702,1652,-10,0,0,NA,NA,NA,NA,NA
2015,8,30,7,1401,1320,1320,0,13,1333,130,118,100,773,1513,5,1530,1518,-12,0,0,NA,NA,NA,NA,NA
2015,6,27,6,4639,1255,1252,-3,15,1307,175,156,135,1117,1622,6,1650,1628,-22,0,0,NA,NA,NA,NA,NA
2015,12,30,3,4680,1745,1735,-10,12,1747,144,142,123,781,1950,7,2009,1957,-12,0,0,NA,NA,NA,NA,NA
2015,5,25,1,560,1320,1319,-1,9,1328,100,95,81,543,1449,5,1500,1454,-6,0,0,NA,NA,NA,NA,NA
2015,11,6,5,1250,2005,1958,-7,20,2018,115,111,85,678,2243,6,2300,2249,-11,0,0,NA,NA,NA,NA,NA
2015,8,23,7,5930,817,810,-7,12,822,90,70,52,315,814,6,847,820,-27,0,0,NA,NA,NA,NA,NA
